,count,mean,std,min,25%,50%,75%,max
Age,1470.0,37.923809523809524,9.135373489136732,19.0,31.0,37.0,44.0,61.0
SalaryLevel,1470.0,3679.827210884354,1850.8262405505254,466.0,2132.0,3678.0,5306.0,6874.0
CommuteLength,1470.0,10.19251700680272,8.106864435666074,2.0,3.0,8.0,15.0,30.0
Directs,1470.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
EmployeeNumber,1470.0,1024.865306122449,602.0243348474751,1.0,491.25,1020.5,1555.75,2068.0
EnvironmentSatisfaction,1470.0,2.721768707482993,1.0930822146350005,1.0,2.0,3.0,4.0,4.0
HourlyRate,1470.0,65.89115646258503,20.329427593996165,30.0,48.0,66.0,83.75,100.0
JobInvolvement,1470.0,2.7299319727891156,0.7115611429632304,1.0,2.0,3.0,3.0,4.0
JobLevel,1470.0,2.0639455782312925,1.106939898935122,1.0,1.0,2.0,3.0,5.0
JobSatisfaction,1470.0,2.7285714285714286,1.1028461230547204,1.0,2.0,3.0,4.0,4.0
MonthlyIncome,1470.0,6502.931292517007,4707.956783097994,1009.0,2911.0,4919.0,8379.0,19999.0
MonthlyRate,1470.0,14313.103401360544,7117.786044059976,2094.0,8047.0,14235.5,20461.5,26999.0
NumCompaniesWorked,1470.0,2.6931972789115646,2.498009006070747,0.0,1.0,2.0,4.0,9.0
PercentSalaryHike,1470.0,15.209523809523809,3.6599377165396407,11.0,12.0,14.0,18.0,25.0
PerformanceRating,1470.0,3.1537414965986397,0.36082352460434397,3.0,3.0,3.0,3.0,4.0
RelationshipSatisfaction,1470.0,2.7122448979591836,1.0812088864403524,1.0,2.0,3.0,4.0,4.0
WeeklyWorkedHours,1470.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0
StockOptionLevel,1470.0,0.7938775510204081,0.852076667930838,0.0,0.0,1.0,1.0,3.0
YearsinIndustry,1470.0,11.279591836734694,7.780781675514997,0.0,6.0,10.0,15.0,40.0
TrainingTimesLastYear,1470.0,2.7993197278911564,1.2892706207958455,0.0,2.0,3.0,3.0,6.0
WorkLifeBalance,1470.0,2.7612244897959184,0.7064758297141507,1.0,2.0,3.0,3.0,4.0
YearsOnJob,1470.0,7.0081632653061225,6.126525152403569,0.0,3.0,5.0,9.0,40.0
YearsAtCurrentLevel,1470.0,4.229251700680272,3.623137034670628,0.0,2.0,3.0,7.0,18.0
YearsSinceLastPromotion,1470.0,2.1877551020408164,3.222430279137967,0.0,0.0,1.0,3.0,15.0
YearsWithCurrManager,1470.0,4.12312925170068,3.5681361205404376,0.0,2.0,3.0,7.0,17.0
